Macht	мощь, сила, могущество, власть
Eros	мифол. Эрос, Эрот (бог любви)
Gesundheitssystem	система здравоохранения
Grauzone	серая зона
vervielfältigen	размножать (напр., копии чего-л.)
Kostbarkeit	драгоценность
Millisekunde	миллисекунда
mädchenhaft	девичий, девический
skaten	играть в скат
splitternackt	голый
Windgeschwindigkeit	скорость ветра
Schabe	прусак, таракан
Klavierunterricht	урок(и) игры на фортепьяно
Wettlauf	гонка
Fußweg	пешеходная дорожка, тропинка, тротуар, ходьба
Fettleibigkeit	ожирение
Fahrbahn	дорожная полоса
Brettspiel	настольная игра
erzürnt	разгневанный, рассерженный
Halteverbot	запрет остановки
Schoßhündchen	комнатная собачка, подлиза
Golfkrieg	война в Персидском заливе
Wagenheber	автомобильный (вагонный) домкрат (подъёмник)
Aufwartung	прислуживание, (домашнее) обслуживание; работа (приходящей) прислуги
Auftakt	муз. затакт, вступление
Warte	вежа, стрельница
Autohaus	автомобильный гараж, автогараж
Unterseite	нижняя сторона
Überlebenskünstler	мастер выживания
Hauptgewinn	главный выигрыш
Freibrief	истор. охранная грамота; чартер
Kosmetikerin	косметолог
Charakterstärke	сила характера
Vermögenswert	юр. имущественная ценность, стоимость имущества
Stollen	штольня, штоллен
Guacamole	гуакамоле
Hehlerei	юр. укрывательство
distanziert	отстранённый, холодный
drogensüchtig	наркозависимый
Schubs	толчок
Thymian	чабрец, чебрец
Absicherung	ограждение (от какой-л. опасности); укрепление; оцепление (опасного места)
Flocke	снежинка
zerteilen	делить (разрезать) на части; дробить; разлагать
fidel	весёлый
zusichern	заверять (в чём-л. кого-л.); обещать (что-л. кому-л.); гарантировать (что-л. кому-л.); закреплять (что-л. за кем-л.)
Rabbiner	раввин
Kohlkopf	кочан капусты
Abflussrohr	водосточная труба
schwafeln	разг. молоть (болтать) вздор, пустословить
aufsitzen	сидеть
multipel	множественный, рассеянный (напр. склероз), расщеплённый (напр. личность)
versauern	скисать (напр., о молоке)
Feuerstelle	очаг
Orca	косатка
anpreisen	расхваливать, расхвалить
bündeln	связывать в узлы (в пакеты)
herhaben	взять, достать, получить (откуда-л.)
Lende	поясница; бедро; бёдра; чресла (уст.)
Zurschaustellung	выставление напоказ
Tropen	тропики
Erhabenheit	возвышение, возвышенность, бугор
einbrennen	перех. выжигать (напр. клеймо); прожигать; прижигать
Arbeitsweise	метод (режим) работы; способ (принцип) действия (механизма)
Charmeur	заклинатель
Schwerverbrecher	тяжкий преступник
unpersönlich	безличный
Küsser	целовальщик
Feuerwache	пожарная охрана
wegstecken	пережить, стерпеть
Armleuchter	канделябр
Blamage	публичный позор
Gegenschlag	контратака
Quartett	квартет
Schwangerschaftstest	тест на беременность
empfänglich	восприимчивый
ausfliegen	вылетать
Zusicherung	заверение; уверение; обещание
unnachgiebig	неуступчивый, неподатливый
eigenmächtig	самовольный, самоуправный
veruntreuen	растратить, расхитить (чужое имущество, злоупотребив доверием)
Hutmacher	шляпник
durchstoßen	проталкивать (что-л. через что-л.)
Auswertung	анализ, оценка
Pornofilm	порнофильм
Sentimentalität	сентиментальность, сантименты
Sternensystem	звёздная система
Brieftaube	почтовый голубь
Vulva	вульва
Wasserrutsche	водная горка
Maschinenpistole	автомат, пистолет-пулемёт
Gesuchter	разыскиваемый
Koppel	свора, сворка (ремень)
Fünfter	пятый
Tragfläche	несущая поверхность (плоскость)
Kniescheibe	коленная чашечка, надколенник
zersetzen	разлагать ; [2] разлагаться
trist	скучный, печальный, мрачный
unselig	злосчастный, злополучный, пагубный
schmachten	томиться; изнемогать, изнывать (от чего-л.)
anstacheln	подстрекать
Felge	обод, оборот
aufarbeiten	доделать (работу); израсходовать (запас); ликвидировать (задолженность)
Ölfeld	нефтяное месторождение
daliegen	лежать (вытянувшись)
wegputzen	счищать; отчищать
fruchtig	фруктовый
handgreiflich	осязаемый, очевидный; убедительный
Ernsthaftigkeit	серьёзность
Eisdiele	кафе-мороженое
Biergarten	пивная с садом, пивная под открытым небом
Einbildungskraft	воображение
Urheber	инициатор; зачинщик, виновник (напр., спора)
Gültigkeit	сила, действенность
Dachschaden	повреждение крыши
Eigennutz	корыстолюбие, корысть, своекорыстие; эгоизм
geschichtlich	исторический
tauen	таять
quietschend	скрипучий, визжащий
Forschungsergebnis	результат исследований
Zeichensprache	язык жестов; пантомима; внешние проявления чувств
Bußgeld	штраф
Schreibtischschublade	ящик письменного стола
Rückfahrkarte	обратный билет
Dattel	финик
wägen	взвешивать
Flugreise	путешествие на самолёте
Unwissender	невежда
Brieffreund	лицо, с которым состоят в дружеской переписке
Örtchen	местечко посёлок, городок
Patin	крёстная мать
Trampolin	батут
irreparabel	неремонтируемый
einschüchternd	пугающий, устрашающий
Kleinholz	растопка
Hühnerauge	мозоль
ewiglich	поэт. вечно
Flugangst	страх полета
Andrang	напор; наплыв; давка
faktisch	фактический
Angelhaken	рыболовный крючок
Gerümpel	рухлядь, хлам
Privateigentum	частная собственность
Aufschwung	взлёт; подъём; порыв
Anzeigetafel	спорт. таблица очков; оценочная таблица; турнирная таблица
Eisenbahner	железнодорожник
zeitgleich	в одно и тоже время, одновременно
Volksrepublik	народная республика
Versand	отправка, посылка, отсылка
Mietshaus	доходный дом (с отдаваемыми внаём квартирами); дом, сдающийся в аренду; многоквартирный дом
Esprit	остроумие, тонкий ум
auszählen	выплачивать; выдавать (деньги и т. п.)
Zuverlässigkeit	надёжность
Luftdruck	давление воздуха
Laufband	беговая дорожка
Unentschlossenheit	нерешительность
Immobilienpreis	цена на недвижимость
Erzieher	воспитатель
Einfühlungsvermögen	способность к сопереживанию, эмпатия
Geschäftssinn	деловая хватка
schnorren	попрошайничать
Nachbarskind	соседский ребёнок
Kindheitstraum	мечта детства
Rauchmelder	детектор дыма
geschwächt	ослабленный
wogen	волноваться, бушевать; катить волны; колыхаться (напр., о ржи)
lieblos	бессердечный, чёрствый
Legierung	сплав
paradiesisch	райский
griffbereit	удобный для пользования (для манипулирования); сподручный
Milchpulver	сухое молоко
Proletarier	пролетарий
Familiengeheimnis	семейная тайна
vehement	рьяно, яростный
Beitritt	вступление (zu D в организацию)
umgraben	перекапывать, вскапывать
Schandtat	бесчестный (гнусный) поступок, подлость
verprassen	транжирить, мотать, расточать
Spindel	веретено
motiviert	мотивированный
anprangern	донести (на кого-л.)
zugehörig	относящийся, принадлежащий
verziert	украшенный
gewissenlos	бессовестный, бесцеремонный
aufgeklärt	просвещённый; свободомыслящий; свободный от предрассудков
Trinkspruch	тост
Barren	болванка, чушка; слиток; штык (металла); полоса, брус
Tänzchen	танец, потанцевать
Ergebenheit	преданность
Untermieter	юр. субарендатор, поднаниматель
Sozialarbeiterin	социальная работница
Endstadium	конечная стадия
Trampel	увалень, неуклюжий
Starterlaubnis	разрешение на взлёт
Untersuchungsrichter	следователь
Prachtstück	великолепная вещь
Unabhängigkeitserklärung	декларация независимости
Südstaatler	южанин
Mondstein	минер. лунный камень, опалесцирующий полевой шпат
Verbandszeug	перевязочный материал
Schussweite	дальность выстрела
Fummel	тряпка, шмотка
Nachtrag	дополнение
Personenschutz	защита личности
Detektivin	сыщица, детектив
Autopsiebericht	заключение о вскрытии
Trucker	дальнобойщик
Rücklicht	задний фонарь; стоп-сигнал
Dukat	дукат
Ausreißer	беглец, сбежавший
Peilung	пе́ленг
Squaw	скво, индианка
Wettbüro	букмекерская контора; тотализатор
Einschnitt	надрез, разрез, порез; нарез, насечка; зарубка; вырез; выемка; желобок, канавка, борозда; прорезь (в головке винта)
Gedeck	(столовый) прибор
Geschwader	крыло
Schutzraum	убежище
Hämatom	гематома
Projektil	снаряд
Schlüsselkarte	ключ-карта
Witzfigur	комичный персонаж; персонаж из шутки [анекдота]
Wasserloch	воронка размыва; вымоина]
verseucht	заражённый, отравленный
Funksignal	радиосигнал
Sicherheitsteam	служба безопасности
wegschießen	den Ball wegschießen — отбить мяч (футбол)
Homerun	хоумран
Laborbericht	заключение лаборатории
Stalingrad	Сталинград
Künstlername	(художественный) псевдоним (писателя, художника и т. п.)
aufsässig	строптивый, упрямый
nachfüllen	доливать, пополнять, добавлять, досыпать
eintüten	класть (раскладывать) в бумажные пакетики, фасовать
Gant	перчатка
telegrafieren	телеграфировать
Geisha	гейша
Fluglinie	авиакомпания
Personalakte	личное дело
Pestizid	пестицид
absaugen	отсасывать; вытягивать; откачивать
Bazillus	бацилла
Heckenschütze	снайпер
Trommelwirbel	барабанная дробь
verbittert	озлобленный, ожесточённый
geistlich	духовный, религиозный, церковный
schwerfällig	неповоротливый; неуклюжий; громоздкий
Kornfeld	кукурузное поле
Kläffer	шавка, брехун
uneins	несогласный, иметь разное мнение, расходиться во мнениях
Quantenphysik	квантовая физика
Liebhaberin	любовница, возлюбленная
Verbitterung	горечь, озлобленность
verzagen	падать духом, робеть, унывать, отчаиваться
Kohldampf	разг. голод
Fachwissen	знания по специальности, профессиональные знания
Essstäbchen	палочка для еды
Obrigkeit	администрация, начальство
Selbstlosigkeit	самоотверженность
geistesabwesend	рассеянный; отсутствующий (о взгляде)
Milchzahn	молочный зуб
Vorfahrt	правила очерёдности выезда на перекрёсток; право преимущественного выезда на перекрёсток; право проезда в первую очередь
Johannisbeere	смородина
Paradoxon	парадокс
verstauben	покрываться пылью, (за)пылиться
Kommunikationsmittel	средство коммуникации
Wucher	ростовщичество, грабёж
Anleger	экон. инвестор
Füllfederhalter	авторучка
Baustein	строительный камень
Nervenzelle	нервная клетка
undurchdringlich	непроницаемый (тж. перен. о лице, тайне)
entdeckt	обнаруженный, открытый
Blöken	мычать, блеять
tummeln	резвиться
fauchen	шипеть
wagemutig	отважный, дерзкий, смелый
Pedant	педант
einsparen	(с)экономить; сберегать, накоплять
Kiesel	гравий
Frohsinn	весёлость, жизнерадостность
typischerweise	как правило, обычно
mitnichten	ничуть, нисколько, вовсе не / вовсе нет
wirkend	действующий, производящий впечатление
modernisieren	модернизировать; придавать современный облик (вид, характер)
Straßenlaterne	уличный фонарь
libysch	ливийский
Schulkind	школьник, школьница (младших классов)
bespitzeln	вести слежку, следить (за кем-л.)
umschlingen	надеть (на шею), завязывать (платок, кашне)
ersaufen	утонуть
Myriade	редк. мириада
entgegenstellen	противопоставлять
Stadtviertel	квартал
Benutzername	имя пользователя
Buchmesse	книжная ярмарка
stocken	приостановиться, запнуться, останавливаться, задержаться, застревать
Wechselkurs	курс, обменный курс
abzielen	метить
gleichgeschlechtlich	однополый
Erzeugnis	изделие, продукт
Handbewegung	движение рукой
Gegenwind	встречный ветер
beifügen	прилагать, прибавлять (что-л. к чему-л.)
Synchronisation	техн. синхронизация
Novelle	повесть, новелла
Geldverdienen	заработок денег
brechend	битком, ломящийся
Kleiderordnung	правила, предписывающие каждому сословию свою одежду
Einkaufsbummel	поход за покупками
einnicken	(сидя) задремать, вздремнуть
Seltenheit	редкость; исключительность; редкое явление
Straßengraben	водоотводная канава (дороги)
Betätigung	деятельность
Fischfang	рыболовство
entstanden	возникший, появившийся
beschleichen	подкрадываться (к кому-л.); подстерегать (кого-л.), шпионить (за кем-л.)
Überflutung	наводнение
herumreden	ходить вокруг да около
bettlägerig	лежачий; постельный (о больном)
wissbegierig	любознательный, пытливый
herumkommen	обходить (кругом) (что-л., вокруг чего-л.); ходить (кругом) (вокруг чего-л.)
Geiz	алчность
versalzen	пересаливать
erblassen	побледнеть
knallrot	ярко-красный
Bankangestellter	ба́нковский слу́жащий
immerfort	постоянно, беспрестанно
Weihnachtseinkauf	рождественские покупки
Intervall	интервал
Landsitz	поместье, усадьба
Lieblingssendung	любимая (теле)передача
uneigennützig	бескорыстный
massenweise	массово, в огромном количестве
Batzen	разг. ком, куча, глыба
Kugelfisch	иглобрюх
bündig	связно
Doppelbett	двуспальная кровать
ungehörig	неуместный, неподобающий, неприличный
zerzausen	растрепать; потрепать; спутать; привести в беспорядок
Gegenspieler	противник
Rotz	сопли
Nebenkosten	добавочные расходы
Nörgler	брюзга, ворчун, нытик
größenwahnsinnig	страдающий манией величия
unentschuldbar	непрости́тельный
Hornissennest	осиное гнездо
Biochemie	биохимия
Hilfeschrei	крик о помощи
nackig	голышом
Stützrad	опорное колесо (например, у полуприцепа); боковое (вспомогательное) колесо велосипеда
unpässlich	не совсем здоровый
Tacker	тетрадная машина, степлер
fiebrig	лихорадочный / лихорадочная / лихорадочное, лихорадочен / лихорадочна / лихорадочно
Passfoto	фото на паспорт
solidarisch	солидарный
Kartenspieler	игрок в карты, картёжник
Tanzschritt	па; шаг (в танцах)
Fluggast	пассажир (самолёта)
losfliegen	полететь
wasserfest	водонепроницаемый, водостойкий, водоупорный
Gleichschritt	ровный шаг; шаг в ногу
Apfelmus	яблочное пюре
Kinofilm	кинофильм
verschnüren	перевязывать (шнурком, верёвкой)
Mordanschlag	покушение на убийство
Mutmaßung	предположение, догадка, домысел
Niederlassung	спуск, опускание
Spielkamerad	товарищ детства (детских игр)
Flügelschlag	взмах крыла
Chromosom	хромосома
Flugstunde	лётный час, урок полёта
privatisieren	приватизировать, денационализировать (государственное предприятие)
Langlebigkeit	долголетие
anfechten	оспаривать, оспорить
einheimsen	убирать (урожай)
Zwiebelring	луковое кольцо
Vasall	вассал
ambitioniert	амбициозный
ausverkauft	распроданный
tunken	макать
denkwürdig	памятный, знаменательный, достопримечательный
aufwirbeln	вздымать, поднимать (пыль); кружить (вихрем)
ungebührlich	неуместный, неподобающий, ненадлежащий; неприличный, непристойный
Leuchtfeuer	маяк
Plädoyer	выступление перед судом, заключительная речь
Gebräu	бурда (о плохом напитке)
Ausrutscher	падение на скользкой поверхности (поскользнувшись)
Striptease	стриптиз
Aorta	аорта
Gerichtstermin	дата суда
Mündel	подопечный
Concierge	консьерж
Annullierung	отмена, аннулирование, объявление недействительным
Lügendetektor	детектор лжи
Kreuzfeuer	перекрёстный огонь
Polizeifunk	полицейская рация
Infarkt	инфаркт
Tori	тории
Jammerlappen	нытик, плакса
Drogendezernat	отдел по наркотикам
Rückenmark	спинной мозг
Queue	очередь, кий
Überläufer	перебежчик
einstudieren	заучивать; разучивать; выучивать
Xanax	Ксанакс
Nervenklinik	неврологическая клиника
Vicodin	викодин
Notrufzentrale	служба экстренных вызовов
Sicherheitsfirma	охранная фирма
Blutlinie	род, кровная линия
Napalm	напалм
durchstellen	переключить (телефонный разговор с коммутатора на абонента, с основного аппарата на параллельный)
reaktivieren	спец. реактивировать
Totem	тотем
Zeitsprung	скачок во времени
Durchsuchungsbeschluss	ордер на обыск
Pantomime	пантомима
Pierrot	Пьеро
kurzschließen	закорачивать / закоротить
Zen	дзен-буддизм, дзэн-буддизм, дзен, дзэн
existierend	существующий
kanalisieren	канализировать, переводить, уводить, шлюзовать
Läsion	мед. поражение, поранение
aufknüpfen	развязывать, распутывать (узел)
Huey	Хьюи
wegholen	уносить; уводить
zahlend	платящий
bemannen	воен. укомплектовывать, комплектовать экипаж (команду) (судна)
durchforsten	прореживать, вырубать ( лес)
Boxershorts	боксеры, трусы
oha	ого
Kurtisane	куртизанка
Höllenhund	адская гончая
mitwirken	участвовать, помогать
hinlaufen	(по)бежать (туда)
befummeln	ощупывать, трогать (что-л.)
gefesselt	связанный, скованный
halbnackt	полуобнажённый, полунагой, полуголый
Pferdedieb	конокрад
Erbrochenes	рвотные массы, блевотина
Komtess	графиня
Südwest	юго-запад, юго-западный ветер
tollpatschig	неуклюжий, неловкий
MiG	МиГ
erregt	взволнованный, возбуждённый, раздражённый
Unwahrheit	неправда
Verwirklichung	осуществление, претворение (проведение) в жизнь, воплощение
Beisetzung	похороны, погребение
Fragerei	(вечные) расспросы
Aufrührer	мятежник, бунтовщик, бунтарь
desorientieren	дезориентировать
Brüller	крикун, орущий человек
Fixierung	фиксация
Grabrede	надгробное слово, надгробная речь
vertretbar	могущий быть оправданным (о поступке)
Ölung	смазывание (маслом); смазка; промасливание
dingfest	арестовать, задержать, справляться
Warteschleife	ожидание на линии
selbstmordgefährdet	склонный к самоубийству
Neuland	с.-х. (поднятая) целина, новь, целинные земли
Dickdarm	толстая кишка
Ehrenmedaille	медаль почёта
Ramsch	старьё, хлам, утиль; брак; дешёвый (бросовый) товар; бракованный (несортовой) товар; остатки (напр., тканей); мешанина
Abszess	абсцесс
Schubkraft	сила тяги, тяга; реактивная сила
Händchenhalten	держание за руки
Weibsbild	баба
Rammbock	таран
Golfschläger	клюшка для игры в гольф
Rettungsdienst	спасательная служба
Selbsthass	самоненависть
Konklave	конклав
Satellitentelefon	спутниковый телефон
Abspann	заключительные титры в конце фильма или телевизионной передачи
Satellitenschüssel	спутниковая тарелка, спутниковая антенна
vollpumpen	накачивать
Netzhaut	сетчатка
Kundgebung	демонстрация
Barmann	бармен
synchron	синхронный
Ode	ода
Präparat	мед., фарм., хим. (лекарственный) препарат
Laufwerk	привод
Täufer	креститель
aufbauschen	надувать, раздувать
Reanimation	мед. реанимация, оживление организма
Glanzzeit	золотой век, расцвет
Strähne	прядь
Zeitungsjunge	мальчик - продавец газет
Zündkerze	свеча зажигания
besticken	вышивать
Haarnadel	шпилька для волос
Schadensbegrenzung	ограничение ущерба
Exorzist	экзорцист, заклинатель
düsen	лететь на реактивном самолёте
Alchemist	алхимик
Krampfanfall	судорожный припадок
zufliegen	подлетать, прилетать (к чему-л.); залетать (к кому-л.)
quieken	верещать, визжать
einknicken	загибать, изгибать; надламывать
Mole	мол, крот
diensthabend	дежу́рный
alarmierend	тревожный
Flor	цветение, флора
vorgaukeln	втирать очки (кому-л.); разыгрывать (что-л. перед кем-л.); лживо уверять (в чём-л. кого-л.)
abrackern	(из)мучиться; (про)возиться (с чем-л.); биться (над чем-л.)
abraten	отсоветовать
Zivilbevölkerung	гражданское население
Abbau	разборка, демонтаж, снос, ликвидация
Automechaniker	автомеханик
lustlos	безрадостный, безучастный; невесёлый, скучный
Leihwagen	автомобиль, взятый напрокат
Garaus	конец, крышка
Kilt	килт
Mistkäfer	навозный жук, навозник
Zähler	техн. счётчик (прибор)
Rührung	умиление, растроганность
Anziehsachen	одежда, шмотки
Glockenturm	колокольня, звонница
Lieblingsrestaurant	любимый ресторан
Zuckerrohr	сахарный тростник
Dachdecker	кровельщик
Boshaftigkeit	злобность, злость
Miezekatze	кошечка, киска
fünfzigtausend	пятьдесят тысяч
Architektin	архитектор
eingießen	налить
Hammel	баран, валух
Gummiband	резиновая тесьма, резинка; резиновая лента
sechst	шестой
Fähnchen	флажок
zusammenbinden	связывать
Giftgas	ядовитый газ
Hofnarr	придворный шут
entwirren	распутывать
Bussi	поцелуй
Ehrung	чествование; оказание почестей
Furche	борозда́
humorlos	без чувства юмора
Mistgabel	вилы
uneben	неровный, негладкий
Örtlichkeit	местность, место
erlaubt	разрешённый, позволено
Theologe	теолог
Kartoffelpüree	картофельное пюре
beißend	едкий (о дыме и т. п.)
fahl	блёклый, бледный, тусклый, бессильный
gestreift	полосатый
verkleidet	переодетый, замаскированный
gehörlos	неслышащий, глухой
Schlafzimmertür	дверь спальни
Gehsteig	тротуар
Streichholzschachtel	спичечный коробок, спичечная коробка
ausnahmslos	без исключения
abermals	опять, вторично, вновь
Fettnäpfchen	горшочек с салом
Haustüre	входная дверь
Potenz	возведение в степень
barsch	едкий, терпкий, острый, грубый
Telefonhörer	телефонная трубка, трубка
Kreuzfahrtschiff	круизный лайнер, круизное судно
Uhu	филин
Kriegstreiber	поджигатель войны
Augentropfen	глазные капли
Urteilskraft	рассудок, умственные способности
Zungenbrecher	скороговорка
umstürzen	опрокидывать, разрушать (тж. перен.)
eincremen	намазать кремом, втирать крем
absonderlich	стра́нный, осо́бенный
umdenken	переосмылять
abwechslungsreich	разнообразный
schneeweiß	белоснежный
Orangenbaum	апельсин
ausmessen	измерять
Dekret	судебный запрет
Fortbildung	повышение квалификации; усовершенствование; дальнейшее развитие
Mätzchen	шутл. малыш; дурачок
Observatorium	обсерватория
Bauchredner	чревовещатель
Hauptgebäude	главное здание
gutartig	доброка́чественный
Vorherrschaft	господство
mitessen	есть вместе с кем-л.
Kopfhaut	кожа головы
Nachwirkung	(последующее) действие, (по)следствие, эффект
Zauberwald	заколдованный лес
Zwinger	опоясывающая крепость
Ausgeburt	плод, порождение
unnormal	аномальный; ненормальный
Martyrium	мученическая смерть
übervorsichtig	крайне осторожный
putzmunter	бодрый, свеженький
Goldgrube	золотой прииск
streitlustig	любящий (по)спорить; сварливый
vollkotzen	заблевать
Fachbereich	специальность; область науки
Griffel	грифель, стиль, пестик
Ritterlichkeit	рыцарство
Plunder	мусор, хлам, барахло
Hundegebell	собачий лай
Stethoskop	стетоскоп
Gemeindezentrum	общинный комплекс (зданий и т. п.)
nachschenken	наполнять снова
Soja	соя
Laufsteg	мостки; лесенка
Bohnenstange	подпорка для фасоли
Hochzeitstorte	свадебный торт
Familienmensch	семьянин
florieren	процветать
Kriminalbeamter	сотрудник уголовного розыска
Karteikarte	карточка, картотечная карточка
Fünfjähriger	пятилетний ребёнок
Waffenlieferung	поставка оружия
Frauenstimme	голос женщины, женский голос
Israelit	израильтянин
Neurochirurg	нейрохирург
Adeliger	дворянин
geradeheraus	прямо, напрямик
Windhund	борзая
Botengang	исполнение поручения
wegtragen	уносить
Pingpong	пинг-понг
verausgaben	израсходовать, издержать
Staatsanleihe	государственный заём
mästen	откармливать, перекармливать
muntern	подбадривать, ободрять
Getöse	бушевание, гул, шум, рокот
Amphibie	земноводное, амфибия
gesinnt	настроенный (о человеке)
verhassen	ненавидеть
Gefieder	оперение
Auslandsreise	заграничная поездка
Fernsehapparat	телевизор
Rinde	кора, корка
gelehrt	учёный, образованный
Schnitzer	резчик (по дереву, кости)
Miesepeter	разг. ворчун, брюзга, нытик
Unabhängigkeitstag	день независимости
Augenwinkel	уголок глаза
Gesäß	ягодицы
Brusttasche	нагрудный карман (напр., пиджака)
Aufhebung	отмена
Deckmantel	прикрытие, личина
Fühler	щупальце, усик, щуп, зонд
Persönlichkeitsstörung	психол. расстройство личности
Vorhängeschloss	висячий замок
Wildkatze	кот лесной
Mitspracherecht	право на обсуждение
überschüssig	избыточный, излишний
verdünnen	утончать, делать тоньше; утонять
uneinig	uneinig sein — быть не в ладу; расходиться во мнениях; ссориться; uneinig werden — разойтись, поссориться; mit sich selbst uneinig sein — быть не в ладу с самим собой, колебаться
ungefragt	неспрошенный
Speiseplan	меню, рацион
Pranger	позорный столб (тж. перен.)
Yogi	йог
nennenswert	существенный, существенно
Bodybuilder	культурист, бодибилдер
Antisemitismus	антисемитизм
Kleiderbügel	вешалка
enträtseln	разгадывать
Fastenzeit	пост, великий пост
Diskrepanz	несоответствие
züchtigen	наказывать; карать
Erfolgschance	шанс на успех
Gelatine	желатин
Entzugserscheinung	мед. абстинентный синдром, синдром отмены (препарата)
Totalschaden	полная гибель, тотальный ущерб
verunglimpfen	поносить; оскорблять, (о)позорить, (о)срамить
Jesuit	иезуит
Büffet	буфет, фуршет
Kamillentee	настой ромашки
Pharisäer	истор. фарисей
Köstlichkeit	изысканность, тонкость (на вкус)
Arztrechnung	счёт врача (за лечение, обследование)
stibitzen	стибрить
krankmelden	взять больничный
gleichwohl	всё-таки, всё же, тем не менее
Kabeljau	треска
Spielzeugauto	игрушечный автомобиль, машинка
Geranie	герань
brisant	острый, взрывоопасный
kikeriki	кукареку
verwunschen	заколдованный
hellbraun	светло-коричневый
kramen	рыться, шарить, перебирать
Morgensonne	восходящее солнце, утреннее солнце
verhältnismäßig	относительно
Luftschloss	воздушный замок
dereinst	когда-нибудь, когда-то
Distel	чертополох
Preiselbeere	брусника
Fichte	ель, ёлка
Landessprache	язык страны
Hauptthema	главная тема
Tierpark	зоопарк
Ungleichheit	несходство
Erledigung	выполнение; улаживание
ungleich	не равно
umbenennen	переименовывать переименовать
Grundgesetz	конституция, основной закон
Kurde	курд
schweißgebadet	в поту, взмокший
Büchlein	книжка, книжечка
gutgläubig	доверчивый
Ölwechsel	замена масла
missglücken	удаваться
genüsslich	с аппетитом, с наслаждением
Arbeitskleidung	спецодежда, рабочая одежда
Weihnachtsferien	рождественские каникулы
zweideutig	двусмысленный; неясный; двойственный
herumgehen	обходить (кругом) (что-л., вокруг чего-л.); ходить (кругом) (вокруг чего-л.); ходить вокруг да около
Knödel	пельмень
Quellwasser	родниковая (ключевая) вода; вода источника
Rückerstattung	возмещение, отдача; реституция
verfeinden	mit D поссориться, рассориться (с кем-л.)
Verlängerungskabel	удлинитель
Konservendose	(жестяная) консервная банка
fernab	далеко́
gegenteilig	противоположный, противный, обратный
Christkind	младенец Христос, рождественский дед
Buntstift	цветной карандаш
instand	в порядке, в исправность
schöpferisch	творческий, созидательный
Nachhut	арьергард
Hauptdarstellerin	главная актриса
Pulsader	анат. артерия
Treuhandfonds	трастовый фонд
Rechtsabteilung	юридический отдел
Sicherheitsrisiko	угроза безопасности
Rennstrecke	дистанция гонок, гоночная трасса
Cocktailparty	коктейльная вечеринка
abfucken	бесить, задалбывать
Oberbefehlshaber	главнокома́ндующий
Motelzimmer	номер в мотеле
Kühlbox	небольшой холодильник; небольшая холодильная камера
Dreizack	трезубец, триостренник
Rächer	мститель
Tripper	триппер, гонорея
Ablösung	отделение; отвязывание; отслаивание; отрыв
Entzugsklinik	рехаб
Vaterschaft	отцовство (в основном юридическом, правовом контексте)
Gewinnerin	победительница
Terroristin	террористка
Hundchen	собачка
Kartei	картотека
Bardame	барменша
Falschaussage	юр. умышленно ложное показание свидетеля (эксперта) (данное без присяги)
Sperrgebiet	запретная зона
Abschlussjahr	выпускной год
Dödel	разг. балбес
Gigolo	жиголо
Scheißtag	паршивый день
Kühler	охладитель; холодильник
Geschäftsbeziehung	деловая связь, деловое отношение
Heimatschutz	защита (охрана) природных и культурных ценностей страны
viertens	в-четвёртых
Verteidigungslinie	воен. линия обороны, оборонительный рубеж
Knutschfleck	засос
Soufflé	суфле
Detektei	детективное агентство
ironischerweise	по иронии
Überfahrt	перепра́ва
Lüftungsschacht	вентиляционная шахта
Enthauptung	обезглавливание
Vermisstenanzeige	заявление о пропаже
Abholung	забор, получение
Beißer	разг. кусака (о животном)
Glückstreffer	удача
herumfliegen	облетать, облететь (кругом) (что-л., вокруг чего-л.), летать, лететь (кругом) (вокруг чего-л.); летать по кругу, описывать круги, кружить(ся)
dezent	приличный, скромный
Selbsthilfegruppe	группа взаимопомощи
Kosak	казак, козак
zurückfordern	требовать обратно
Mulligan	маллиган, переигровка
pensioniert	на пенсии, отставной
Feuerwaffe	огнестрельное оружие
Schaufensterpuppe	манекен
Marquise	маркиза
Staatsgrenze	государственная граница
Schuldschein	долговая расписка
Kleriker	клирик, священник
Ratsmitglied	член (городского) совета, член муниципалитета
unterschieben	пододвигать, подсовывать (подо что-л.)
ranghoch	высокопоставленный
Messerstich	удар ножом
betatschen	разг. (грубо) хватать (ощупывать), лапать
Doge	дож
abspritzen	брызгать, разлетаться брызгами
ihretwillen	ради неё
anvisieren	целиться
abgleichen	выравнивать, сглаживать
Eierkopf	ирон. яйцеголовый, интеллектуал, умник
Packer	упаковщик, укладчик, архиватор
Sou	су
Drogengeschäft	наркоторговля
einkassieren	инкассировать; собирать, получать (деньги)
His	его
Panzerfaust	панцерфауст
Gouvernante	устар. гувернантка
Freikarte	бесплатный билет; контрамарка
auswischen	стирать (пыль, написанное с доски); вытирать, протирать
zusammenflicken	разг. сшивать (из кусков), чинить, заштопать, латать
einsacken	класть в мешок; укладывать (затаривать, засыпать) в мешки
Mordverdächtiger	подозреваемый в убийстве
Einschussloch	пулевое отверстие
Pathologe	патолог
Gruppenführer	группенфюрер (генерал войск СС в фашистской Германии)
Großmama	бабушка
Arschficker	мудак, пидор
Cheddar	чеддер
Phryne	Фрина
Streifenpolizist	патрульный полицейский
hochmodern	ультрасовременный
aufrütteln	тормошить; встряхивать; будоражить
