Macht	мощь, сила, могущество, власть
steuern	вести, регулировать, управлять, руководить
Friedhof	кладбище
Wurm	червь, червяк
Gemeinde	община, муниципалитет
weswegen	из-за чего, поэтому, из-за этого
Umschlag	конверт, компресс, примочка, припарка
Schublade	выдвижно́й я́щик, я́щик
Praxis	практика, кабинет
kratzen	расчёсывать, чесать; царапать; скрести, скоблить
vorlesen	зачитывать
Verlobte	невеста
Zeitschrift	журнал
sprengen	подрывать (тж. перен.); взрывать
aussagen	сказать, высказать
hinunter	вниз
scheinbar	мнимый, кажущийся
pflanzen	сажать, посадить (растения)
Grundstück	земельный участок, имение
deuten	указывать, истолковывать, интерпретировать
Nachname	фамилия
Eimer	ведро
Tugend	достоинство
vermasseln	испортить, провалить
Mütze	шапка
ausrauben	разграблять
einlassen	впускать, наливать, наполнять, начать
Süßigkeit	сладость
Überlebende	выжившие, уцелевшая
Eichhörnchen	белка, веверица
bewusstlos	бессознательный
abreisen	уезжать
schmelzen	плавиться ( расплавиться ), таять ( растаять ), плавить ( расплавить ), растапливать ( растопить ), таять ( растаять )
verkleiden	наряжаться
Kofferraum	багажник
günstig	недорого, дёшево
einschließen	запирать, закрывать на ключ
Korb	корзинка, короб
geheimnisvoll	таинственный
nochmals	ещё раз
ermitteln	узнавать, разузнавать, выяснять, определять, устанавливать, обнаруживать, разыскивать; добывать (сведения)
hervor	наружу, вперёд
Brieftasche	бумажник
widerstehen	устоять, выдерживать
klagen	оплакивать, жаловаться, подавать
wischen	стирать, протирать, давать пощёчину, листать
Hoheit	величие
Diebstahl	кража, воровство
Schmetterling	бабочка, мотылёк, баттерфляй
bewachen	охранять
angemessen	соответствующий
Saft	сок
Niederlage	поражение
verklagen	предъявить иск
Haken	крючок, галочка, загвоздка, крюк
Feiertag	праздник, празднество
Wal	кит
trösten	утешать
Außerirdischer	инопланетянин, пришелец
Besprechung	совещание, дискуссия, обсуждение, рецензия
Beschwerde	претензия, жалоба
eilen	спешить, торопиться
ausfallen	отменяться
Änderung	изменение
spucken	плевать
Vorname	имя
aufbewahren	сберегать, сохранять
Kissen	подушка
U-Bahn	метро, метрополитен
Streich	удар
knacken	трещать; хрустеть
Hintergrund	задний план (тж. перен.)
Böses	зло, дурное
eigenartig	странный, необычный
einschlagen	вбивать, забивать, вколачивать
Herrschaft	власть, правление, господство, господа
ähneln	быть похожим, походить (на кого-л.)
Angeklagte	юр. подсудимый, обвиняемый
Eigenschaft	свойство
stolpern	спотыкаться
Löffel	ложка
abwarten	выжидать, ждать
auflösen	распускать, распутывать
segeln	идти под парусом
fernhalten	отстранять (кого-л. от чего-л.); удерживать (кого-л. от чего-л., от общения с кем-л.)
Trost	утешение
Anwesenheit	присутствие
frech	дерзкий, нахальный, наглый
Taube	голубь, голубка , голубок, глухая
Premierminister	полит. премьер-министр
Kehle	горло
eventuell	возможный, вероятный возможно, вероятно
Forderung	требование, вызов
geschäftlich	деловой
gespannt	напряжённый, заинтригованный
erstens	во-первых
beklagen	жаловаться, сетовать
geduldig	терпеливый
Regal	полка, регалия
Vorfahre	предок
Betrüger	мошенник, обманщик
Blutdruck	кровяное давление
abstellen	поставить, перестать, выключить
Wange	щека
